fecha,letra,total_cif
2011-06-01,P,179216
2011-06-01,Q,4316488
2011-06-01,R,812984
2011-06-01,S,6776685
2011-06-01,Z,1549275
2011-07-01,A,17748104
2011-07-01,B,100950560
2011-07-01,C,3627918592
2011-07-01,D,77219096
2011-07-01,E,1031022
2011-07-01,F,39897408
2011-07-01,G,1310904704
2011-07-01,H,14406287
2011-07-01,I,5691028
2011-07-01,J,115780040
2011-07-01,K,14875165
2011-07-01,L,3613489
2011-07-01,M,18308170
2011-07-01,N,741144064
2011-07-01,P,191214
2011-07-01,Q,5798477
2011-07-01,R,2551149
2011-07-01,S,4283492
2011-07-01,Z,2889286
2011-08-01,A,26637968
2011-08-01,B,126059048
2011-08-01,C,4296785920
2011-08-01,D,58282204
2011-08-01,E,858776
2011-08-01,F,130607008
2011-08-01,G,1595841152
2011-08-01,H,18354960
2011-08-01,I,3261388
2011-08-01,J,113421448
2011-08-01,K,40742840
2011-08-01,L,5209684
2011-08-01,M,16360187
2011-08-01,N,508860320
2011-08-01,P,340323
2011-08-01,Q,8687193
2011-08-01,R,9815584
2011-08-01,S,6871342
2011-08-01,Z,2448812
