fecha,clae2,total_cif
2008-01-01,38,395116
2008-01-01,39,-99
2008-01-01,41,2437677
2008-01-01,42,10732888
2008-01-01,43,12749808
2008-01-01,45,256357040
2008-01-01,46,803520320
2008-01-01,47,110221624
2008-01-01,49,23460644
2008-01-01,50,6212018
2008-01-01,51,176120720
2008-01-01,52,13861678
2008-01-01,53,51572
2008-01-01,55,231405
2008-01-01,56,1628357
2008-01-01,58,14201614
2008-01-01,59,1503487
2008-01-01,60,11627278
2008-01-01,61,146908592
2008-01-01,62,8830152
2008-01-01,63,1009035
2008-01-01,64,32856520
2008-01-01,65,-99
2008-01-01,66,-99
2008-01-01,68,7703864
2008-01-01,69,61531
2008-01-01,70,6577927
2008-01-01,71,3079087
2008-01-01,72,1428754
2008-01-01,73,797681
2008-01-01,74,45189
2008-01-01,75,-99
2008-01-01,77,23697212
2008-01-01,78,-99
2008-01-01,79,154340
2008-01-01,80,778305
2008-01-01,81,-99
2008-01-01,82,10983949
2008-01-01,85,320652
2008-01-01,86,3860034
2008-01-01,90,-99
2008-01-01,92,4429220
2008-01-01,93,235470
2008-01-01,94,1759840
2008-01-01,95,1160451
2008-01-01,96,1561902
2008-01-01,999,3245735
2008-02-01,1,11447468
2008-02-01,2,-99
2008-02-01,3,2697102
2008-02-01,5,-99
2008-02-01,6,76922400
2008-02-01,7,28277346
2008-02-01,8,2689757
2008-02-01,9,37233488
2008-02-01,10,224834400
2008-02-01,11,24408752
2008-02-01,12,10193548
2008-02-01,13,77345408
2008-02-01,14,12819709
2008-02-01,15,22920660
2008-02-01,16,9625128
2008-02-01,17,79023464
2008-02-01,18,20340532
2008-02-01,19,32120672
2008-02-01,20,286900896
2008-02-01,21,76882272
2008-02-01,22,126954768
2008-02-01,23,32976692
2008-02-01,24,250487280
2008-02-01,25,46383060
2008-02-01,26,68919648
2008-02-01,27,57202820
2008-02-01,28,104734400
2008-02-01,29,831943680
2008-02-01,30,26731028
2008-02-01,31,4692317
2008-02-01,32,7616135
2008-02-01,33,13132962
2008-02-01,35,50320204
2008-02-01,36,-99
